"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Idstein","Idstein","50.2206","8.2742","Germany","DE","DEU","Hesse","","25554","1276320507"
"Vaterstetten","Vaterstetten","48.1050","11.7706","Germany","DE","DEU","Bavaria","","25530","1276137898"
"Verl","Verl","51.8831","8.5167","Germany","DE","DEU","North Rhine-Westphalia","","25522","1276182306"
"Rottweil","Rottweil","48.1681","8.6247","Germany","DE","DEU","Baden-Württemberg","minor","25513","1276117708"
"Brilon","Brilon","51.3956","8.5678","Germany","DE","DEU","North Rhine-Westphalia","","25511","1276723318"
"Sangerhausen","Sangerhausen","51.4667","11.3000","Germany","DE","DEU","Saxony-Anhalt","minor","25441","1276588418"
"Öhringen","Ohringen","49.2000","9.5000","Germany","DE","DEU","Baden-Württemberg","","25388","1276641265"
"Roth","Roth","49.2461","11.0911","Germany","DE","DEU","Bavaria","","25367","1276856142"
"Lennestadt","Lennestadt","51.1236","8.0681","Germany","DE","DEU","North Rhine-Westphalia","","25352","1276165009"
"Wiehl","Wiehl","50.9500","7.5333","Germany","DE","DEU","North Rhine-Westphalia","","25314","1276813101"
"Salzkotten","Salzkotten","51.6708","8.6047","Germany","DE","DEU","North Rhine-Westphalia","","25311","1276941056"
"Obertshausen","Obertshausen","50.0667","8.8333","Germany","DE","DEU","Hesse","","25307","1276455006"
"Lüdinghausen","Ludinghausen","51.7667","7.4333","Germany","DE","DEU","North Rhine-Westphalia","","25259","1276526583"
"Weingarten","Weingarten","47.8092","9.6444","Germany","DE","DEU","Baden-Württemberg","","25257","1276346018"
"Delitzsch","Delitzsch","51.5264","12.3425","Germany","DE","DEU","Saxony","","25244","1276928962"
"Pfungstadt","Pfungstadt","49.8056","8.6044","Germany","DE","DEU","Hesse","","25231","1276568312"
"Petershagen","Petershagen","52.3833","8.9667","Germany","DE","DEU","North Rhine-Westphalia","","25222","1276300392"
"Norden","Norden","53.5967","7.2056","Germany","DE","DEU","Lower Saxony","","25179","1276766299"
"Espelkamp","Espelkamp","52.3772","8.6328","Germany","DE","DEU","North Rhine-Westphalia","","25174","1276996942"
"Ditzingen","Ditzingen","48.8264","9.0667","Germany","DE","DEU","Baden-Württemberg","","25145","1276272726"
"Olpe","Olpe","51.0167","7.8333","Germany","DE","DEU","North Rhine-Westphalia","minor","25015","1276501027"
"Plettenberg","Plettenberg","51.2167","7.8833","Germany","DE","DEU","North Rhine-Westphalia","","24954","1276414700"
"Bad Oldesloe","Bad Oldesloe","53.8117","10.3742","Germany","DE","DEU","Schleswig-Holstein","minor","24935","1276683854"
"Schmallenberg","Schmallenberg","51.1490","8.2845","Germany","DE","DEU","North Rhine-Westphalia","","24878","1276002699"
"Meckenheim","Meckenheim","50.6333","7.0167","Germany","DE","DEU","North Rhine-Westphalia","","24877","1276114705"
"Sprockhövel","Sprockhovel","51.3667","7.2500","Germany","DE","DEU","North Rhine-Westphalia","","24838","1276006803"
"Syke","Syke","52.9131","8.8269","Germany","DE","DEU","Lower Saxony","","24810","1276951328"
"Zittau","Zittau","50.8961","14.8072","Germany","DE","DEU","Saxony","","24794","1276061456"
"Rudolstadt","Rudolstadt","50.7169","11.3275","Germany","DE","DEU","Thuringia","","24749","1276466405"
"Meiningen","Meiningen","50.5500","10.4167","Germany","DE","DEU","Thuringia","minor","24745","1276941916"
"Warstein","Warstein","51.4500","8.3500","Germany","DE","DEU","North Rhine-Westphalia","","24647","1276854914"
"Waldshut-Tiengen","Waldshut-Tiengen","47.6231","8.2144","Germany","DE","DEU","Baden-Württemberg","minor","24605","1276011078"
"Rathenow","Rathenow","52.6000","12.3333","Germany","DE","DEU","Brandenburg","minor","24597","1276833446"
"Ronnenberg","Ronnenberg","52.3194","9.6556","Germany","DE","DEU","Lower Saxony","","24570","1276210070"
"Bad Mergentheim","Bad Mergentheim","49.5000","9.7667","Germany","DE","DEU","Baden-Württemberg","","24564","1276714498"
"Isernhagen-Süd","Isernhagen-Sud","52.4342","9.8572","Germany","DE","DEU","Lower Saxony","","24563","1276610067"
"Markkleeberg","Markkleeberg","51.2778","12.3833","Germany","DE","DEU","Saxony","","24523","1276805845"
"Haren","Haren","52.7667","7.2167","Germany","DE","DEU","Lower Saxony","","24498","1276278460"
"Waldkraiburg","Waldkraiburg","48.2167","12.4000","Germany","DE","DEU","Bavaria","","24488","1276784836"
"Attendorn","Attendorn","51.1167","7.9000","Germany","DE","DEU","North Rhine-Westphalia","","24448","1276325506"
"Herzogenaurach","Herzogenaurach","49.5700","10.8819","Germany","DE","DEU","Bavaria","","24404","1276809658"
"Varel","Varel","53.3969","8.1361","Germany","DE","DEU","Lower Saxony","","24397","1276834869"
"Bedburg","Bedburg","51.0000","6.5625","Germany","DE","DEU","North Rhine-Westphalia","","24302","1276409548"
"Freudenstadt","Freudenstadt","48.4633","8.4111","Germany","DE","DEU","Baden-Württemberg","minor","24301","1276092007"
"Staßfurt","Stassfurt","51.8667","11.5667","Germany","DE","DEU","Saxony-Anhalt","","24293","1276438491"
"Calw","Calw","48.7167","8.7333","Germany","DE","DEU","Baden-Württemberg","minor","24219","1276416126"
"Übach-Palenberg","Ubach-Palenberg","50.9197","6.1194","Germany","DE","DEU","North Rhine-Westphalia","","24215","1276712019"
"Sehnde","Sehnde","52.3161","9.9642","Germany","DE","DEU","Lower Saxony","","24157","1276201782"
"Eisenhüttenstadt","Eisenhuttenstadt","52.1450","14.6728","Germany","DE","DEU","Brandenburg","","24125","1276902561"
"Wandlitz","Wandlitz","52.7500","13.4497","Germany","DE","DEU","Brandenburg","","24104","1276059066"
"Jüchen","Juchen","51.1011","6.5017","Germany","DE","DEU","North Rhine-Westphalia","","23940","1276318248"
"Alfter","Alfter","50.7356","7.0092","Germany","DE","DEU","North Rhine-Westphalia","","23904","1276256549"
"Westerstede","Westerstede","53.2500","7.9167","Germany","DE","DEU","Lower Saxony","minor","23854","1276738053"
"Limbach-Oberfrohna","Limbach-Oberfrohna","50.8667","12.7500","Germany","DE","DEU","Saxony","","23833","1276772007"
"Döbeln","Dobeln","51.1194","13.1128","Germany","DE","DEU","Saxony","","23763","1276060973"
"Starnberg","Starnberg","47.9972","11.3406","Germany","DE","DEU","Bavaria","minor","23741","1276454637"
"Husum","Husum","54.4667","9.0500","Germany","DE","DEU","Schleswig-Holstein","minor","23735","1276973778"
"Korbach","Korbach","51.2833","8.8667","Germany","DE","DEU","Hesse","minor","23706","1276822678"
"Gelnhausen","Gelnhausen","50.2000","9.1667","Germany","DE","DEU","Hesse","","23679","1276351264"
"Salzwedel","Salzwedel","52.8500","11.1500","Germany","DE","DEU","Saxony-Anhalt","minor","23543","1276222011"
"Kaltenkirchen","Kaltenkirchen","53.8397","9.9603","Germany","DE","DEU","Schleswig-Holstein","","23538","1276286164"
"Hannoversch Münden","Hannoversch Munden","51.4167","9.6500","Germany","DE","DEU","Lower Saxony","","23530","1276002967"
"Sonneberg","Sonneberg","50.3500","11.1667","Germany","DE","DEU","Thuringia","minor","23507","1276304773"
"Mosbach","Mosbach","49.3522","9.1467","Germany","DE","DEU","Baden-Württemberg","minor","23484","1276659317"
"Dillenburg","Dillenburg","50.7333","8.2833","Germany","DE","DEU","Hesse","","23480","1276583007"
"Senftenberg","Senftenberg","51.5167","14.0167","Germany","DE","DEU","Brandenburg","minor","23405","1276241839"
"Netphen","Netphen","50.9147","8.1000","Germany","DE","DEU","North Rhine-Westphalia","","23363","1276020652"
"Leutkirch im Allgäu","Leutkirch im Allgau","47.8256","10.0222","Germany","DE","DEU","Baden-Württemberg","","23345","1276589635"
"Warburg","Warburg","51.5000","9.1697","Germany","DE","DEU","North Rhine-Westphalia","","23322","1276612246"
"Quedlinburg","Quedlinburg","51.7917","11.1472","Germany","DE","DEU","Saxony-Anhalt","","23313","1276672547"
"Gersthofen","Gersthofen","48.4167","10.8667","Germany","DE","DEU","Bavaria","","23274","1276965949"
"Wertheim","Wertheim","49.7589","9.5175","Germany","DE","DEU","Baden-Württemberg","","23196","1276150823"
"Rastede","Rastede","53.2500","8.2000","Germany","DE","DEU","Lower Saxony","","23180","1276294384"
"Karben","Karben","50.2322","8.7681","Germany","DE","DEU","Hesse","","23172","1276723734"
"Bad Soden am Taunus","Bad Soden am Taunus","50.1333","8.5000","Germany","DE","DEU","Hesse","","23162","1276847418"
"Vreden","Vreden","52.0333","6.8333","Germany","DE","DEU","North Rhine-Westphalia","","23161","1276296218"
"Überlingen","Uberlingen","47.7667","9.1650","Germany","DE","DEU","Baden-Württemberg","","23098","1276778071"
"Apolda","Apolda","51.0167","11.5167","Germany","DE","DEU","Thuringia","minor","23072","1276857102"
"Weilheim","Weilheim","47.8333","11.1500","Germany","DE","DEU","Bavaria","minor","23056","1276001381"
"Bad Kissingen","Bad Kissingen","50.2000","10.0667","Germany","DE","DEU","Bavaria","minor","23037","1276216676"
"Bad Salzungen","Bad Salzungen","50.8117","10.2333","Germany","DE","DEU","Thuringia","minor","23013","1276249222"
"Wallenhorst","Wallenhorst","52.3500","8.0167","Germany","DE","DEU","Lower Saxony","","22989","1276580914"
"Nagold","Nagold","48.5519","8.7256","Germany","DE","DEU","Baden-Württemberg","","22985","1276622142"
"Lengerich","Lengerich","52.1750","7.8667","Germany","DE","DEU","North Rhine-Westphalia","","22980","1276617854"
"Friesoythe","Friesoythe","53.0206","7.8586","Germany","DE","DEU","Lower Saxony","","22945","1276189033"
"Kitzingen","Kitzingen","49.7333","10.1667","Germany","DE","DEU","Bavaria","minor","22945","1276000007"
"Edewecht","Edewecht","53.1258","7.9825","Germany","DE","DEU","Lower Saxony","","22908","1276458945"
"Senden","Senden","48.3167","10.0667","Germany","DE","DEU","Bavaria","","22896","1276555386"
"Neusäß","Neusass","48.4000","10.8333","Germany","DE","DEU","Bavaria","","22872","1276057547"
"Laupheim","Laupheim","48.2289","9.8797","Germany","DE","DEU","Baden-Württemberg","","22863","1276003982"
"Herdecke","Herdecke","51.4000","7.4333","Germany","DE","DEU","North Rhine-Westphalia","","22758","1276078079"
"Burg","Burg","52.2725","11.8550","Germany","DE","DEU","Saxony-Anhalt","minor","22689","1276295040"
"Stadthagen","Stadthagen","52.3247","9.2069","Germany","DE","DEU","Lower Saxony","minor","22643","1276512771"
"Büdingen","Budingen","50.2908","9.1125","Germany","DE","DEU","Hesse","","22622","1276951058"
"Haar","Haar","48.1000","11.7333","Germany","DE","DEU","Bavaria","","22555","1276621025"
"Metzingen","Metzingen","48.5367","9.2858","Germany","DE","DEU","Baden-Württemberg","","22528","1276043043"
"Donaueschingen","Donaueschingen","47.9531","8.5033","Germany","DE","DEU","Baden-Württemberg","","22431","1276107502"
"Ottobrunn","Ottobrunn","48.0667","11.6667","Germany","DE","DEU","Bavaria","","22430","1276842192"
"Bad Rappenau","Bad Rappenau","49.2333","9.1000","Germany","DE","DEU","Baden-Württemberg","","22356","1276726877"
"Versmold","Versmold","52.0436","8.1500","Germany","DE","DEU","North Rhine-Westphalia","","22274","1276482608"
"Eppingen","Eppingen","49.1333","8.9167","Germany","DE","DEU","Baden-Württemberg","","22226","1276844300"
"Radevormwald","Radevormwald","51.2000","7.3500","Germany","DE","DEU","North Rhine-Westphalia","","22222","1276941483"
"Ilsede","Ilsede","52.2667","10.1833","Germany","DE","DEU","Lower Saxony","","22206","1276410827"
"Waldkirch","Waldkirch","48.1000","7.9667","Germany","DE","DEU","Baden-Württemberg","","22127","1276926019"
"Heide","Heide","54.1961","9.0933","Germany","DE","DEU","Schleswig-Holstein","minor","22114","1276473220"
"Eschborn","Eschborn","50.1436","8.5700","Germany","DE","DEU","Hesse","","22070","1276712049"
"Karlsfeld","Karlsfeld","48.2167","11.4667","Germany","DE","DEU","Bavaria","","22069","1276796218"
"Schwetzingen","Schwetzingen","49.3833","8.5667","Germany","DE","DEU","Baden-Württemberg","","22062","1276516691"
"Gardelegen","Gardelegen","52.5264","11.3925","Germany","DE","DEU","Saxony-Anhalt","","22054","1276557570"
"Elsdorf","Elsdorf","50.9333","6.5667","Germany","DE","DEU","North Rhine-Westphalia","","22021","1276581538"
"Glauchau","Glauchau","50.8233","12.5444","Germany","DE","DEU","Saxony","","21951","1276610130"
"Aichach","Aichach","48.4500","11.1333","Germany","DE","DEU","Bavaria","minor","21908","1276090074"
"Sonthofen","Sonthofen","47.5158","10.2811","Germany","DE","DEU","Bavaria","minor","21859","1276823857"
"Flörsheim","Florsheim","50.0167","8.4333","Germany","DE","DEU","Hesse","","21851","1276463362"
"Soltau","Soltau","52.9833","9.8333","Germany","DE","DEU","Lower Saxony","","21808","1276678434"
"Eislingen","Eislingen","48.6933","9.7067","Germany","DE","DEU","Baden-Württemberg","","21745","1276267974"
"Hockenheim","Hockenheim","49.3181","8.5472","Germany","DE","DEU","Baden-Württemberg","","21745","1276940967"
"Bad Harzburg","Bad Harzburg","51.8811","10.5622","Germany","DE","DEU","Lower Saxony","","21738","1276192309"
"Mühldorf","Muhldorf","48.2456","12.5228","Germany","DE","DEU","Bavaria","minor","21697","1276623949"
"Geseke","Geseke","51.6500","8.5167","Germany","DE","DEU","North Rhine-Westphalia","","21685","1276815446"
"Bad Krozingen","Bad Krozingen","47.9167","7.7000","Germany","DE","DEU","Baden-Württemberg","","21684","1276964772"
"Lindlar","Lindlar","51.0167","7.3833","Germany","DE","DEU","North Rhine-Westphalia","","21665","1276176624"
"Spremberg","Spremberg","51.5717","14.3794","Germany","DE","DEU","Brandenburg","","21585","1276939967"
"Xanten","Xanten","51.6622","6.4539","Germany","DE","DEU","North Rhine-Westphalia","","21582","1276917094"
"Seligenstadt","Seligenstadt","50.0333","8.9667","Germany","DE","DEU","Hesse","","21568","1276356108"
"Stadtallendorf","Stadtallendorf","50.8333","9.0167","Germany","DE","DEU","Hesse","","21552","1276032217"
"Zerbst","Zerbst","51.9681","12.0844","Germany","DE","DEU","Saxony-Anhalt","","21519","1276007718"
"Eckernförde","Eckernforde","54.4742","9.8378","Germany","DE","DEU","Schleswig-Holstein","","21507","1276177935"
"Günzburg","Gunzburg","48.4527","10.2713","Germany","DE","DEU","Bavaria","minor","21486","1276986738"
"Rees","Rees","51.7667","6.4000","Germany","DE","DEU","North Rhine-Westphalia","","21475","1276451097"
"Osterode","Osterode","51.7286","10.2522","Germany","DE","DEU","Lower Saxony","minor","21446","1276593815"
"Waghäusel","Waghausel","49.2500","8.5167","Germany","DE","DEU","Baden-Württemberg","","21444","1276002094"
"Zossen","Zossen","52.2167","13.4497","Germany","DE","DEU","Brandenburg","","21433","1276905478"
"Puchheim","Puchheim","48.1500","11.3500","Germany","DE","DEU","Bavaria","","21420","1276452600"
"Sondershausen","Sondershausen","51.3667","10.8667","Germany","DE","DEU","Thuringia","minor","21317","1276468586"
"Gauting","Gauting","48.0678","11.3739","Germany","DE","DEU","Bavaria","","21276","1276677644"
"Traunstein","Traunstein","47.8667","12.6333","Germany","DE","DEU","Bavaria","minor","21251","1276793310"
